"Org_canonical","lat","long"
"Women and Infants Hospital of Rhode Island",NA,NA
"Shanghaitech University",31.1794305,121.5902345
"Mcmaster University",43.2639397,-79.9178252
"Fujian Provincial Maternity and Children s Hospital",NA,NA
"Maastricht University Medical Centre Mumc",NA,NA
"Tampere University",61.4947284,23.7776925
"The First Affiliated Hospital of Guangxi Medical University",NA,NA
"UT Southwestern Medical Center",32.812043,-96.8417201
"De Duve Institute",NA,NA
"University of Melbourne",-37.8241371,144.9170886
"Anhui Medical University School of Public Health",NA,NA
"Cardiff University",51.5067253,-3.1894874
"Rouen University",49.3849168,1.0720751
"Western University",43.0054234,-81.274801
"Texas a m University",30.6108618,-96.3520606
"The Babraham Institute",NA,NA
"The Hebrew University",39.1379046,-84.5209528
"Children s Mercy Hospital",39.0835794,-94.5768784
"Follicle Biology Lab Vub",NA,NA
"Wayne State University",42.3571895,-83.0709436
"Institute of Hematology Blood Disease Hospital Chinese Academy of Medical Sciences",NA,NA
"Sun Yat-Sen University",23.0996034,113.2923509
"Loke Centre for Trophoblast Research",NA,NA
"Fujian Maternity and Child Health Hospital",NA,NA
"Stowers Institute for Medical Research",39.0369194,-94.5748553
"Bohao",44.8312966,11.6138546
"Seattle Children s Research Institute",47.61689,-122.3340287
"University of Queensland",-27.4981423,153.0111536
"Korea University",36.6108894,127.2934174
"Rutgers Nj Medical School",NA,NA
"National Research Institute for Child Health and Development",NA,NA
"University of South Florida",28.0599999,-82.4138362
"Hunan University of Chinese Medicine",NA,NA
"University of British Columbia Bc Children s Hospital Research Institute",NA,NA
"University of Calgary",51.075054,-114.138805
"Nankai University",38.9869388,117.33941
"Max Planck Institute for Molecular Genetics",52.4446554,13.2729039
"John Moran Eye Center",40.7697479,-111.8378178
"Monash University",-37.7839745,144.9586743
"Affiliated Obstetrics and Gynecology Hospital of Fudan University",NA,NA
"Irset U1085",48.1169082,-1.7006315
"Friedrich Schiller University Jena",NA,NA
"Huazhong University of Science and Technology",30.5202172,114.4118463
"Université Catholique De Louvain",50.8212043,4.3495585
"University of Sheffield",53.3729622,-1.5059315
